X,Y,ORGANIZATION_NAME,CLIENT_NAME,SITE_NAME,PRIMARY_FACILITY_NAME,CLIENT_ID,SITE_ID,PRIMARY_FACILITY_ID,SUB_FACILITY_NAME,SUB_FACILITY_ID,PRIMARY_FACILITY_TYPE,PRIMARY_FACILITY_KIND,OTHER_FACILITY_ID,SUB_FACILITY_TYPE,SOTHER_FID,CLIENT_RELATIONSHIP,SITE_STATUS,PRIMARY_FACILITY_STATUS,SUB_FACILITY_STATUS,COMPLIANCE,SHAPE_FID
-8935566.471,4922133.535,REAXIS INC,REAXIS INC,REAXIS INC,REAXIS/MCDONALD PLT,111433,484762,513528,ADMIN SF FOR:GOLDSCHMIDT IND CHEM/MCDONALD PLT,550914,AIR EMISSION PLANT,Unavailable,25-1711073-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4111379
-8491505.799,4872055.203,PA DEPT OF ED THADDEUS STEVENS COLL OF TECH,PA DEPT OF ED THADDEUS STEVENS COLL OF TECH,THADDEUS STEVENS COLL TECH LANCASTER,PA DEPT OF ED/THADDEUS STEVENS COLL OF TECH ORANGE ST,119551,269706,512928,ADMIN SF FOR:LANCASTER HEALTH MGM/COMM HOSP LANCASTER,551455,AIR EMISSION PLANT,Unavailable,23-6003115-3,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4111758
-8636280.996,4828821.158,REGENCY THERMOGRAPHERS,REGENCY THERMOGRAPHERS,NAVITOR,REGENCY THERMOGRAPHERS/WAYNESBORO,160776,269307,570077,ADMIN SF FOR:REGENCY THERMOGRAPHERS/WAYNESBORO,566446,AIR EMISSION PLANT,Unavailable,41-0852411-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4111780
-8645255.545,4853591.191,VOGELE AMER INC,VOGELE AMER INC,VOGELE HEAVY MACH MFG CHAMBERSBURG,VOGELE AMER INC/CHAMBERSBURG,113919,486810,519745,ADMIN SF FOR:VOGELE AMER INC/CHAMBERSBURG,553119,AIR EMISSION PLANT,Unavailable,25-1835006-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4111807
-8862024.947,4911773.528,JEANNETTE CITY SCH DIST,JEANNETTE CITY SCH DIST,JEANETTE CITY HIGH SCH,JEANNETTE CITY SCH DIST/JEANNETTE HIGH SCH,111454,482903,511885,ADMIN SF FOR:JEANNETTE CITY SCH DIST/JEANNETTE HIGH SCH,550925,AIR EMISSION PLANT,Unavailable,25-6000863-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4111873
-8376213.298,4905944.061,CONSTANTIA COLMAR LLC,CONSTANTIA COLMAR LLC,CONSTANTIA COLMAR PLT,CONSTANTIA COLMAR/HATFIELD TWP,253371,517908,541403,ADMIN SF FOR:CONSTANTIA COLMAR/HATFIELD TWP,553438,AIR EMISSION PLANT,Unavailable,23-2619815-3,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,ACTIVE,YES,4111949
-8645265.249,4853917.766,AMETEK SPECIALTY MOTORS,AMETEK SPECIALTY MOTORS,AMETEK SPECIALTY MOTORS CHAMBERSBURG PLT,AMETEK SPECIALTY MOTORS/CHAMBERSBURG,158706,465096,494385,ADMIN SF FOR:AMETEK SPECIALTY MOTORS/CHAMBERSBURG,552449,AIR EMISSION PLANT,Unavailable,51-0409161-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4112081
-8941701.833,4991310.866,ROTH BROS INC,ROTH BROS INC,VIRIDIAN SYS NEW BEAVER,VIRIDIAN SYSTEMS LLC/NEW BEAVER,272036,485605,514348,ADMIN SF FOR:VIRIDIAN SYSTEMS LLC/NEW BEAVER,552894,AIR EMISSION PLANT,Unavailable,26-4320525-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,ACTIVE,YES,4112144
-8837510.793,4912671.505,CBC LATROBE ACQUISITION LLC,CBC LATROBE ACQUISITION LLC,LATROBE BREWERY,CBC LATROBE ACQUISITION LLC/LATROBE,254847,466090,272884,ADMIN SF FOR:CBC LATROBE ACQUISITION LLC/LATROBE,550255,AIR EMISSION PLANT,Unavailable,20-5591123-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112183
-8571991.22,4838526.975,HANOVER LANTERN INC,HANOVER LANTERN INC,HANOVER LANTERN KINDIG LN PLT,HANOVER LANTERN INC/KINDIG LN,111878,253178,524645,ADMIN SF FOR:HANOVER LANTERN INC/KINDIG LN,554176,AIR EMISSION PLANT,Unavailable,23-1725733-2,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,INACTIVE,YES,4112240
-8593401.476,4895251.275,CLASSIC DRY CLNR,CLASSIC DRY CLNR,CLASSIC CLNRS CARLISLE PLT,CLASSIC CLNRS/CARLISLE PLT,147660,513281,565831,ADMIN SF FOR:CLASSIC CLEANERS CARLISLE PLT,556757,AIR EMISSION PLANT,Unavailable,25-1763619-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4112351
-8561148.735,4900880.547,CLASSIC DRY CLNR,CLASSIC DRY CLNR,CLASSIC CLNRS LEMOYNE PLT,CLASSIC CLNRS/LEMOYNE PLT,147660,547948,565838,ADMIN SF FOR:CLASSIC CLNRS LEMOYNE PLT,556770,AIR EMISSION PLANT,Unavailable,25-1763619-3,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4112352
-8556999.385,5007348.44,CTL BLDR SUPPLY CO,CTL BLDR SUPPLY CO,CTL BLDR SUPPLY WALTERS QUARRY,CTL BLDR SUPPLY CO/MONTANDON SAND & GRAVEL PLT,60347,518415,627612,ADMINX SF FOR:CTL BLDR SUPPLY CO/MONTANDON SAND & GRAVEL PL,751104,AIR EMISSION PLANT,Unavailable,24-0543700-1,GENERAL ADMINISTRATIVE LOCATION,ADMINX,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112390
-8923359.321,4964775.721,NSPC LLC,NSPC LLC,NSPC LLC,NPSC LLC,275611,466263,495476,ADMIN SF FOR:NEW SEWICKLEY PET CR/NEW BRIGHTON,551809,AIR EMISSION PLANT,Unavailable,51-0652150-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112425
-8410188.334,4923122.254,REMMEY PALLET CO,REMMEY PALLET CO,TAM PALLET DBA REMMEY PALLET/E GREENVILLE,TAM PALLET DBA REMMEY PALLET/E GREENVILLE,250962,454295,509668,ADMIN SF FOR:REMMEY PALLET/EAST GREENVILLE,551062,AIR EMISSION PLANT,Unavailable,23-2707859-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4112485
-8921669.763,5029893.155,NATURAL SAND CO INC,NATURAL SAND CO INC,NATURAL SAND,NATURAL SAND CO INC/PLAIN GROVE RD,146616,540659,560115,ADMIN SF FOR:NATURAL SAND CO INC/PLAIN GROVE RD,554118,AIR EMISSION PLANT,Unavailable,25-1854211-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112702
-8400918.714,4908819.707,VIANT COLLEGEVILLE LLC,VIANT COLLEGEVILLE LLC,VIANT COLLEGEVILLE LLC,ACCELLENT INC/COLLEGEVILLE MICROCOAX,65359,2323,509930,ADMIN SF FOR:ACCELLENT INC/COLLEGEVILLE MICROCOAX,550417,AIR EMISSION PLANT,Unavailable,23-3011857-2,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4112744
-8947477.524,5029826.837,DAIRY FARMERS OF AMER INC,DAIRY FARMERS OF AMER INC,DAIRY FARMERS OF AMER,DAIRY FARMERS OF AMER/NEW WILMINGTON,145118,237038,494119,ADMIN SF FOR:DAIRY FARMERS OF AMER/FARMERS CHEESE,553269,AIR EMISSION PLANT,Unavailable,43-0905874-4,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112784
-8503922.814,4873414.045,NISSIN FOODS USA CO INC,NISSIN FOODS USA CO INC,NISSIN FOODS E HEMPFIELD TWP NOODLE PLT,NISSIN FOODS USA CO/HEMPFIELD,82143,516604,511815,ADMIN SF FOR:NISSIN FOODS USA CO/HEMPFIELD,552735,AIR EMISSION PLANT,Unavailable,95-2655682-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112909
-8387259.038,4895466.07,PALMER INTL INC,PALMER INTL INC,PALMER INTL INC,PALMER INTL INC/SKIPPACK,82169,458565,2501,ADMIN SF FOR:PALMER INTL INC/SKIPPACK,549169,AIR EMISSION PLANT,Unavailable,23-1467320-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4112916
-8574649.547,4841078.347,VULCAN CONST MATERIALS LLC,VULCAN CONST MATERIALS LLC,VULCAN CONST HANOVER QUARRY & CARMEUSE LIME KILNS,VULCAN CONST MATLS/HANOVER STONE PLT,140578,247873,494982,ADMIN SF FOR:VULCAN CONST MATERIALS/HANOVER STONE PLT,552497,AIR EMISSION PLANT,Unavailable,63-1211833-8,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113222
-8392141.245,4854166.517,PRIVATE CREMATORY,PRIVATE CREMATORY,PRIVATE CREMATORY,PRIVATE CREMATORY/MEDIA,139646,526652,549640,ADMIN SF FOR:PRIVATE CREMATORY/MEDIA,551139,AIR EMISSION PLANT,Unavailable,23-2826930-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113344
-8943092.009,5015375.974,PRECISION PLATING CO INC,PRECISION PLATING CO INC,PRECISION PLATING,PRECISION PLATING CO/NEW CASTLE,117225,252153,494292,ADMIN SF FOR:PRECISION PLATING CO/NEW CASTLE,552340,AIR EMISSION PLANT,Unavailable,25-1144161-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113441
-8796939.605,4998394.08,EASTERN GAS TRANS & STORAGE INC,EASTERN GAS TRANS & STORAGE INC,ROCHESTER MILLS COMP STA,EASTERN GAS TRANS & STORAGE ROCHESTER MILLS/JEFFERSON,81074,599815,251836,ADMIN SF FOR:DOMINION TRANS INC/ROCHESTER MILLS,549970,AIR EMISSION PLANT,Unavailable,55-0629203-16,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113487
-8633716.925,4859946.363,BLUE RIDGE LDFL CO,BLUE RIDGE LDFL CO,BLUE RIDGE LDFL CO,BLUE RIDGE LDFL CO/BLUE RIDGE LDFL,139892,527291,522346,ADMIN SF FOR:IESI PA BLUE RIDGE LDFL/R & A BENDER LDFL,550768,AIR EMISSION PLANT,Unavailable,23-1712936-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113682
-8759662.703,4994211.996,DIVERSIFIED PROD LLC,DIVERSIFIED PROD LLC,PASSMORE COMP STA,DIVERSIFIED PROD LLC/PASSMORE COMP STA,244896,525829,548523,ADMIN SF FOR:PDC MOUNTAINEER LLC/PASSMORE COMP STA,559136,AIR EMISSION PLANT,Unavailable,58-1618404-3,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4113754
-8932703.248,4950325.833,NORTH STAR TRANSF CO,NORTH STAR TRANSF CO,NORTH STAR TRANSF S HEIGHTS TERM,NORTH STAR TRANSFER CO/SOUTH HEIGHTS,112442,485220,514008,ADMIN SF FOR:NORTH STAR TRANSFER CO/SOUTH HEIGHTS,551797,AIR EMISSION PLANT,Unavailable,25-0908383-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4113763
-8897848.824,4895976.326,PATTERSON SUPPLY CO,PATTERSON SUPPLY CO,PATTERSON SUPPLY MONONGAHELA PLT,PATTERSON SUPPLY CO/MONONGAHELA,112444,485222,514011,ADMIN SF FOR:PATTERSON SUPPLY CO/MONONGAHELA,551870,AIR EMISSION PLANT,Unavailable,25-1710028-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4113765
-8518105.592,4991468.266,CORSON ASPHALT INC,CORSON ASPHALT INC,RALPHO TWP ASPHALT PLT,CORSON ASPHALT/RALPHO TWP ASPHALT PLT,261479,560316,643634,ADMIN SF FOR:CORSON ASPHALT/RALPHO TWP ASPHALT PLT,783843,AIR EMISSION PLANT,Unavailable,26-0184596-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4114273
-8909704.022,5083711.329,RANGE RESOURCES APPALACHIA LLC,RANGE RESOURCES APPALACHIA LLC,RANGE RESOURCES APPALACHIA WALLACE STA,RANGE RESOURCES APPALACHIA/WALLACE STATION,141142,256659,512415,ADMIN SF FOR:RANGE OPR CO/WALLACE STATION,549115,AIR EMISSION PLANT,Unavailable,34-1902948-4,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4114307
-8425177.333,5068613.478,GLOBAL METALFORM,GLOBAL METALFORM,GLOBAL METAL FORM MFG,GLOBAL METALFORM/DAVIS ST PLT,142503,485666,514398,ADMIN SF FOR:GLOBAL METALFORM/DAVIS ST PLT,550440,AIR EMISSION PLANT,Unavailable,31-1822573-2,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4114372
-8492529.394,4919444.977,ELK CORP OF TEXAS,ELK CORP OF TEXAS,ELK CORP MYERSTOWN ASPHALT SHINGLE MFG FAC,ELK CORP OF TEXAS/MYERSTOWN,149308,520455,564404,ADMIN SF FOR:ELK CORP OF TEXAS/MYERSTOWN,554165,AIR EMISSION PLANT,Unavailable,74-1925368-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4114424
-8434175.594,4865015.65,SABIC INNOVATIVE PLASTICS US LLC,SABIC INNOVATIVE PLASTICS US LLC,SABIC INNOVATIVE PLASTICS/THORNDALE PLT,SABIC INNOVATIVE PLASTICS/THORNDALE,258854,239123,242117,ADMIN SF FOR:SABIC INNOVATIVE PLASTICS/THORNDALE,550196,AIR EMISSION PLANT,Unavailable,33-1169273-3,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,ACTIVE,YES,4114491
-8470423.742,5049961.366,LBV PROFESSIONAL SVC LLC,LBV PROFESSIONAL SVC LLC,LYCOMING BURIAL VAULT MFG,LBV PROF SVC LLC/MONTOURSVILLE BORO CREMATORY,275042,457154,722566,ADMIN SF FOR:LBV PROF SVC LLC/MONTOURSVILLE BORO CREMATORY,998265,AIR EMISSION PLANT,Unavailable,27-0600610-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4114747
-8862710.567,5148453.693,FXI HOLDINGS INC,FXI HOLDINGS INC,FXI CORRY FAC,FXI HOLDINGS INC/CORRY,274254,247936,494155,ADMIN SF FOR:FXI HOLDINGS INC/CORRY,550308,AIR EMISSION PLANT,Unavailable,27-0283137-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4114761
-8393052.194,4880496.118,FIRST QUALITY RETAIL SVC LLC,FIRST QUALITY RETAIL SVC LLC,FIRST QUALITY RETAIL SVC LLC,FIRST QUALITY RETAIL SVC LLC/KING OF PRUSSIA,264520,249489,495356,ADMIN SF FOR:FIRST QUALITY RETAIL SVC LLC/KING OF PRUSSIA,551075,AIR EMISSION PLANT,Unavailable,26-1813639-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4115006
-8543663.616,4858283.443,BICKELS SNACK FOODS INC,BICKELS SNACK FOODS INC,BICKELS SNACK FOOD ZINNS QUARRY RD PLT,BICKELS SNACK FOODS/ZINNS QUARRY RD,143463,490600,518937,ADMIN SF FOR:BICKELS SNACK FOODS/ZINNS QUARRY RD,553086,AIR EMISSION PLANT,Unavailable,23-3024068-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4115245
-8396565.061,4839496.897,BRASKEM AMER INC,BRASKEM AMER INC,BRASKEM AMERICA INC,BRASKEM AMER INC/MARCUS HOOK,271232,512277,515469,ADMIN SF FOR:BRASKEM AMER INC/MARCUS HOOK,549151,AIR EMISSION PLANT,Unavailable,25-1534498-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4115307
-8376012.174,4963124.116,CRAYOLA LLC,CRAYOLA LLC,CRAYOLA LLC BUSHKILL DR PLT,BINNEY & SMITH INC/PALMER,254565,446407,242865,ADMIN SF FOR:BINNEY & SMITH INC/PALMER,549064,AIR EMISSION PLANT,Unavailable,13-1758211-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,ACTIVE,YES,4115326
-8543413.831,4858837.815,BICKELS SNACK FOODS INC,BICKELS SNACK FOODS INC,BICKELS SNACK FOOD W COLLEGE AVE PLT,BICKELS SNACK FOODS/W COLLEGE AVE PLT,143463,458247,511794,ADMIN SF FOR:BICKELS SNACK FOODS /W COLLEGE AVE PLT,552731,AIR EMISSION PLANT,Unavailable,23-3024068-2,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,ACTIVE,YES,4115371
-8574901.544,5046974.358,JW ALUM CO,JW ALUM CO,J W ALUM CO,JW ALUM CO/WILLIAMSPORT PLT,257812,2054,2720,ADMIN SF FOR:JW ALUM CO/WILLIAMSPORT PLT,549408,AIR EMISSION PLANT,Unavailable,13-3429951-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4115470
-8535518.292,5024070.407,KW DANVILLE LLC,KW DANVILLE LLC,WASHINGTONVILLE PLT,KW DANVILLE LLC/WASHINGTONVILLE PLT,259905,533838,554790,ADMIN SF FOR:KW DANVILLE LLC/WASHINGTONVILLE PLT,551578,AIR EMISSION PLANT,Unavailable,20-8049763-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4115517
-8549915.136,5119866.091,REPSOL OIL & GAS USA LLC,REPSOL OIL & GAS USA LLC,TEUSA THOMAS A/B COMP STA,REPSOL OIL & GAS USA LLC/THOMAS COMP STA,237104,721781,720099,ADMIN SF FOR:TALISMAN ENERGY USA INC/THOMAS COMP STA,993045,AIR EMISSION PLANT,Unavailable,98-0381749-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4115542
-8483423.414,5116970.628,TENNESSEE GAS PIPELINE CO LLC,TENNESSEE GAS PIPELINE CO LLC,WYALUSING STA 319,TENNESSEE GAS PIPELINE CO/319 WYALUSING,144886,240705,244248,ADMIN SF FOR:TENNESSEE GAS PIPELINE CO/319 WYALUSING,550050,AIR EMISSION PLANT,Unavailable,74-1056569-4,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4115755
-8855071.539,4907585.015,FRITZ ENTERPRISES INC,FRITZ ENTERPRISES INC,HEMPFIELD FOUNDRIES,FRITZ ENT INC/SW GREENSBURG PLT,145951,237603,240047,ADMIN SF FOR:FRITZ ENT INC/SW GREENSBURG PLT,549514,AIR EMISSION PLANT,Unavailable,38-1960773-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4115864
-8376726.876,4899047.604,NEPTUNE CHEM PUMP CO,NEPTUNE CHEM PUMP CO,NEPTUNE CHEM PUMP CO,NEPTUNE CHEM PUMP CO/LANSDALE,276561,462321,523520,ADMIN SF FOR:NEPTUNE CHEM PUMP CO/LANSDALE,553293,AIR EMISSION PLANT,Unavailable,26-2080885-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4115966
-8430880.969,5058281.948,DUPONT TERMINALS - DE LLC,DUPONT TERMINALS - DE LLC,DUPONT TERM DE LLC,DUPONT EAST TERM/PITTSTON,275605,245439,494445,ADMIN SF FOR:SCRANTON ALTOONA TERM CORP/EAST DUPONT TERM,550648,AIR EMISSION PLANT,Unavailable,80-0431318-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4116177
-8453463.934,4919939.05,TMS INTL LLC,TMS INTL LLC,CARPENTER TECHNOLOGY CORPORATION,TMS INTL LLC/MUHLENBERG TWP,263365,445262,510892,ADMIN SF FOR:INTL MILL SVC/MUHLENBERG TWP,552665,AIR EMISSION PLANT,Unavailable,20-0221662-6,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4116235
-8413964.848,4899042.779,EXELON GENERATION CO LLC,EXELON GENERATION CO LLC,EXELON LIMERICK GENERATING STATION,EXELON GENERATION CO/LIMERICK GENERATING STATION,147686,475813,240931,ADMIN SF FOR:EXELON GENERATION CO/LIMERICK GENERATING STA,548845,AIR EMISSION PLANT,Unavailable,23-3064219-21,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4116309
-8508204.539,5125868.345,Unavailable,KOVACS KAREN,GOLDEN DRY CLNR,GOLDEN DRY CLNR/US RT 6 PLT,144461,464558,557080,ADMIN SF FOR:GOLDEN DRY CLNR/US RT 6 PLT,554003,AIR EMISSION PLANT,Unavailable,23-2214294-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4116888
