County Name,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
NORTHAMPTON,243,893,1075,1374,1727,1829,2040,2462,3201,4349,6746,6365,1674,1064,759,454,119,18,,203,1012,1568,1960,1906,1963,2050,2417,2674,2984,4759,4524,6502,4180,2602,1356,396,51,5
NORTHUMBERLAND,24,95,117,167,179,222,239,322,520,702,1098,1062,760,588,372,171,32,6,,76,345,506,624,786,793,914,1100,1237,1554,2110,1772,1177,793,515,295,85,10,
PERRY,16,35,47,68,78,102,110,148,235,305,612,598,335,264,119,60,11,,,16,70,92,121,179,181,186,223,284,281,431,449,288,165,148,66,20,,
PHILADELPHIA,272,1406,3019,3215,2962,2655,2381,2529,2852,2929,2773,2253,1469,1101,742,371,135,16,44,127,1050,2538,2785,2284,1802,1675,1843,1951,1963,1828,1378,1588,1055,681,393,124,19,
PIKE,23,80,65,69,93,138,151,239,351,499,794,833,554,392,204,99,12,,,23,104,94,140,136,166,214,307,386,436,514,519,435,278,144,64,13,,
POTTER,,19,8,15,13,24,23,39,68,83,194,235,151,111,38,18,5,,,5,27,30,46,50,82,60,60,84,95,128,124,83,64,48,34,18,,
SCHUYLKILL,63,189,197,256,366,462,488,669,984,1667,2861,2739,999,654,469,278,66,10,,89,465,607,800,997,1048,1210,1373,1487,1739,2137,1876,2266,1522,912,507,128,18,
SNYDER,10,38,55,55,64,91,101,148,192,282,427,418,364,237,109,56,13,,,16,92,141,177,243,251,313,317,357,394,672,607,430,276,181,85,30,,
SOMERSET,12,82,83,135,156,171,196,253,377,630,1011,981,624,457,271,144,35,,,27,179,204,334,345,400,417,481,559,748,1115,963,621,509,370,250,58,10,
SULLIVAN,,9,9,19,19,27,23,59,87,155,198,204,176,140,79,25,5,,,,24,14,19,17,22,29,46,73,100,155,150,113,68,50,20,5,,
SUSQUEHANNA,11,23,38,36,34,57,85,108,184,329,477,447,323,211,121,50,13,,,25,94,95,151,178,184,219,295,343,405,594,530,380,257,180,96,25,6,
TIOGA,13,18,21,39,34,56,64,100,106,206,444,411,314,186,112,36,6,,,16,75,120,118,135,188,174,216,232,292,520,533,435,378,191,82,27,8,
UNION,18,83,80,106,127,140,165,190,286,396,497,488,406,299,208,96,23,,,36,117,167,251,326,331,376,415,421,460,733,627,401,307,201,127,42,,
VENANGO,20,63,67,80,100,97,130,197,273,425,670,574,347,227,157,69,15,,,14,135,142,204,273,266,298,373,460,517,741,649,464,332,195,110,37,5,
WARREN,21,36,44,57,73,89,99,122,221,346,754,573,452,292,170,97,25,,,23,107,159,163,219,187,206,294,334,381,435,376,245,188,158,81,28,,
WASHINGTON,153,439,506,730,938,1111,1035,1376,1837,2629,3986,3352,1926,1287,770,407,97,15,,113,666,829,1077,1403,1531,1600,1868,2206,2663,3958,3532,2665,1956,1264,656,207,20,
WAYNE,21,93,140,196,235,242,256,327,444,560,830,688,479,329,137,67,17,,,24,150,200,226,287,312,395,470,551,604,820,719,465,304,158,102,21,,
WESTMORELAND,212,778,838,1113,1387,1553,1606,2246,3117,4904,8496,7770,4401,3029,1964,1001,234,26,5,212,1245,1671,2010,2260,2411,2607,3094,3545,4275,5218,4352,3563,2629,1726,1098,327,42,6
WYOMING,18,42,36,48,55,57,64,92,173,239,340,340,275,135,66,38,11,,,18,112,100,141,154,155,206,266,332,388,494,454,261,153,79,36,11,,
YORK,238,646,653,962,1180,1272,1495,1949,2576,3828,5775,5505,3860,2619,1615,743,152,19,,219,983,1645,2037,2458,2600,2865,3190,3379,3784,6441,5951,3763,2561,1752,1062,383,44,6
OUT-OF-STATE,879,3892,4189,4875,5474,5832,5991,7528,9228,12030,17923,16994,9773,6456,4022,1979,553,99,215,492,3593,4967,5583,5876,5849,6155,6932,7643,8098,9239,8031,8365,5907,3680,1960,494,63,86
